# Disks,Config #,x,y
1,1,0,0
2,1,0,0.577
2,1,0,-0.577
2,2,-0.25,0
2,2,0.25,0
3,1,0,0.577
3,1,0,-0.577
3,1,0,0
3,2,0.020148,-0.24713
3,2,-0.47985,-0.24713
3,2,-0.22985,0.18588
3,3,-0.49863,0
3,3,0.16803,0
3,3,-0.1653,0
4,1,0.5,0
4,1,0.25,0.433
4,1,0.25,-0.433
4,1,0,0
4,2,0.07008,0.04168
4,2,-0.49448,0.04168
4,2,0.0055162,0.47229
4,2,0.070084,-0.39374
4,3,0.473,-0.25402
4,3,-0.027002,-0.25402
4,3,-0.059865,0.17899
4,3,-0.49414,0.17899
4,4,0.31537,0.17025
4,4,-0.059625,0.38676
4,4,-0.30963,-0.046254
4,4,0.065375,-0.26276
4,5,-0.357,-0.26191
4,5,-0.17399,0.055082
4,5,0.459986,0.055082
4,5,0.143,0.23809
4,6,-0.15525,0.194
4,6,-0.40525,-0.23902
4,6,0.19024,0.283202
4,6,0.49926,0.10479
4,7,0,0.42251
4,7,-0.33333,-0.024168
4,7,0,-0.024168
4,7,0.33333,-0.024168
4,8,-0.375,0
4,8,-0.125,0
4,8,0.375,0
4,8,0.125,0
5,1,-0.145223415,0.079322274
5,1,0.354776585,-0.209352861
5,1,0.083490139,-0.498027995
5,1,0.240419808,0.16992566
5,1,-0.259580192,-0.299956248
5,2,0.106207882,-0.205948829
5,2,-0.014103045,0.566730963
5,2,0.410710315,0.321464855
5,2,-0.318605478,0.039317278
5,2,0.046052419,0.180391067
5,3,-0.444643531,-0.008271046
5,3,-0.158929245,0.239164784
5,3,-0.087500674,-0.131988961
5,3,-0.016072102,-0.503142705
5,3,0.198213612,0.115446869
5,4,-0.121309762,0.322814634
5,4,-0.01174481,-0.102017341
5,4,-0.377770214,-0.102017341
5,4,-0.194757512,-0.419004639
5,4,0.305242488,0.080995361
5,5,0.012441053,-0.37970343
5,5,0.012441053,-0.013678026
5,5,-0.487558947,0.12029657
5,5,0.195453755,0.303309272
5,5,-0.304546245,-0.196690728
5,6,0.244621698,0.355115601
5,6,0.244621698,-0.33249912
5,6,-0.350870457,-0.167102805
5,6,-0.350870457,0.189719285
5,6,0.340112549,0.01130824
5,7,0.274577389,0.092551174
5,7,-0.182204605,0.037974705
5,7,0.067795393,0.470987406
5,7,-0.086713105,-0.305832475
5,7,-0.27769611,0.381781884
5,8,0.487492408,-0.149275759
5,8,0.217332184,-0.38026963
5,8,0.102412296,0.168240008
5,8,-0.242346241,0.081716793
5,8,0.447170832,0.254763222
5,9,0.1853159,0.437214925
5,9,0.385315899,-0.255605399
5,9,0.4853159,0.264009844
5,9,0.085315898,-0.08240032
5,9,-0.214684099,0.090804766
5,10,-0.02691025,-0.052659431
5,10,0.282433627,0.40174055
5,10,0.357847693,-0.323300597
5,10,-0.47548564,-0.034625462
5,10,-0.308818974,0.254049672
5,11,-0.217858925,-0.264449925
5,11,0.032141075,0.168562777
5,11,-0.467858925,0.168562777
5,11,-0.217858925,0.024225209
5,11,0.282141075,0.312900344
5,12,-0.395274003,0.092772504
5,12,-0.103748482,-0.237458506
5,12,-0.353748482,-0.237458506
5,12,0.146251518,-0.237458506
5,12,0.396251518,-0.237458506
5,13,0.383216392,-0.056991674
5,13,-0.416783608,-0.056991674
5,13,0.183216392,-0.056991674
5,13,-0.216783608,-0.056991674
5,13,-0.016783608,-0.056991674
5,14,0.415582623,0.261050391
5,14,0.082249289,0.261050391
5,14,-0.417750711,-0.027624743
5,14,0.415582623,-0.316299878
5,14,-0.251084044,0.261050391
6,1,-0.300942954,-0.262305059
6,1,0.056199903,-0.386022974
6,1,-0.08665724,0.356284515
6,1,-0.372371526,0.108848686
6,1,-0.015228668,-0.014869229
6,1,0.341914189,-0.138587144
6,2,-0.414811587,0.071532967
6,2,0.085188412,-0.160517841
6,2,-0.414811588,-0.294492437
6,2,0.085188412,0.205507563
6,2,-0.097824289,-0.477505139
6,2,-0.231798886,0.388520265
6,3,-0.473959658,0.27634466
6,3,-0.107934254,-0.089680744
6,3,0.392065746,-0.22365534
6,3,-0.107934254,0.27634466
6,3,0.209053044,0.093331958
6,3,-0.290946956,-0.406668042
6,4,0.072781064,-0.264026535
6,4,0.438806467,-0.264026535
6,4,0.255793766,0.418986167
6,4,-0.244206234,0.285011571
6,4,0.072781064,0.101998869
6,4,0.438806467,0.101998869
6,5,0.329146068,0.219944194
6,5,0.01215877,0.036931492
6,5,-0.48784123,-0.097043104
6,5,0.195171471,-0.280055806
6,5,-0.304828528,0.219944194
6,5,0.01215877,0.402956896
6,6,-0.358486314,0.368253831
6,6,0.414270926,-0.153964729
6,6,-0.085729074,0.024445954
6,6,0.318778771,0.18984227
6,6,-0.181221229,-0.319361044
6,6,0.009761777,0.368253315
6,7,0.023815756,-0.368712972
6,7,-0.167167249,0.318901387
6,7,-0.417167249,-0.114111315
6,7,0.273815756,0.06429973
6,7,0.178324254,0.40810691
6,7,-0.071675746,-0.024905792
6,8,-0.444681997,0.006509247
6,8,0.373390442,-0.308600006
6,8,0.214354191,0.281967398
6,8,-0.035645809,-0.151045304
6,8,0.059845694,-0.494852483
6,8,-0.131137312,0.192761876
6,9,-0.24433061,-0.066257504
6,9,-0.161893525,-0.440035497
6,9,-0.326766864,0.307521193
6,9,0.255669806,-0.066257152
6,9,0.002980376,0.544460208
6,9,0.008359236,0.189050891
6,10,0.020723589,-0.240838782
6,10,-0.151603979,0.057641321
6,10,-0.407979132,0.287986592
6,10,0.364838044,-0.221541007
6,10,0.037165612,0.346004294
6,10,0.293540765,0.115659024
6,11,-0.390563695,0.320501322
6,11,0.359436306,-0.11251138
6,11,-0.10271674,-0.278699896
6,11,-0.178410649,0.053677137
6,11,0.071589351,0.486689839
6,11,0.14728326,0.154312805
6,12,0.077592955,-0.044131959
6,12,-0.230604281,-0.222057944
6,12,0.423495242,-0.133092456
6,12,0.173558363,0.299899761
6,12,-0.159774971,0.299899761
6,12,0.006891696,-0.566125642
6,13,-0.29593409,-0.143584702
6,13,-0.129267423,0.145090433
6,13,0.037399244,0.433765567
6,13,0.454886993,0.192763256
6,13,0.288220327,-0.095911879
6,13,0.12155366,-0.384587014
6,14,-0.181915714,0.192507285
6,14,0.15141762,-0.384842984
6,14,-0.34858238,-0.096167849
6,14,0.15141762,0.192507285
6,14,0.318084286,-0.096167849
6,14,-0.181915714,-0.384842984
6,15,-0.000841965,0.428669049
6,15,0.332491368,-0.14868122
6,15,-0.334175299,-0.14868122
6,15,0.165824701,-0.437356355
6,15,-0.167508632,-0.437356355
6,15,-0.500841965,0.139993915
6,16,-0.084417377,-0.027624743
6,16,0.415582623,0.261050391
6,16,0.082249289,0.261050391
6,16,-0.417750711,-0.027624743
6,16,0.415582623,-0.316299878
6,16,-0.251084044,0.261050391
6,17,-0.327352524,0.085480009
6,17,-0.482485779,-0.183218671
6,17,-0.058653844,-0.069653247
6,17,0.403948797,0.240613264
6,17,0.248815541,-0.028085416
6,17,-0.213787099,-0.338351926
6,18,0.184597707,-0.360280164
6,18,-0.315402293,-0.360280164
6,18,0.284548784,-0.077316385
6,18,-0.41535337,0.222781462
6,18,-0.41535337,-0.077316385
6,18,0.284548783,0.222781461
6,19,0.362719196,0.3277045
6,19,0.430540834,0.039029371
6,19,-0.069459166,0.3277045
6,19,-0.137280804,0.039029371
6,19,-0.205102403,-0.249645767
6,19,0.498362432,-0.249645767
6,20,0.11053509,0.21721684
6,20,-0.290321688,-0.128949728
6,20,0.209678312,-0.128949728
6,20,0.459678312,0.304062974
6,20,0.459678312,0.015387839
6,20,-0.040321688,-0.273287296
6,21,0.172797335,0.213660346
6,21,-0.077202665,0.069322779
6,21,-0.077202665,-0.508027491
6,21,0.422797335,-0.219352356
6,21,-0.327202666,-0.075014788
6,21,0.172797335,-0.363689923
